,county_name,county_id
0,Alameda County,1
1,Alpine County,2
2,Amador County,3
3,Butte County,4
4,Calaveras County,5
5,Colusa County,6
6,Contra Costa County,7
7,Del Norte County,8
8,El Dorado County,9
9,Fresno County,10
10,Glenn County,11
11,Humboldt County,12
12,Imperial County,13
13,Inyo County,14
14,Kern County,15
15,Kings County,16
16,Lake County,17
17,Lassen County,18
18,Los Angeles County,19
19,Madera County,20
20,Marin County,21
21,Mariposa County,22
22,Mendocino County,23
23,Merced County,24
24,Modoc County,25
25,Mono County,26
26,Monterey County,27
27,Napa County,28
28,Nevada County,29
29,Orange County,30
30,Placer County,31
31,Plumas County,32
32,Riverside County,33
33,Sacramento County,34
34,San Benito County,35
35,San Bernardino County,36
36,San Diego County,37
37,San Francisco County,38
38,San Joaquin County,39
39,San Luis Obispo County,40
40,San Mateo County,41
41,Santa Barbara County,42
42,Santa Clara County,43
43,Santa Cruz County,44
44,Shasta County,45
45,Sierra County,46
46,Siskiyou County,47
47,Solano County,48
48,Sonoma County,49
49,Stanislaus County,50
50,Sutter County,51
51,Tehama County,52
52,Trinity County,53
53,Tulare County,54
54,Tuolumne County,55
55,Ventura County,56
56,Yolo County,57
57,Yuba County,58
